ID;BONUSZ;ARBEVETEL;TJB;AKTIV_NAPOK;KAMPANY_HOSSZA;VISSZAFIZETES;PONT_NAP;PONT_HONAP;RFM_SCORE_NO;KAMPANYAFFINITAS;TELJESITES
ID86;20000;90680;108440;29;2;0,5;2;7,9183;10;0;0
ID87;10000;141277;61774;27;2;0,5;2;7,9183;10;0,166666667;0
ID88;20000;627781;245269;27;2;0,5;2;7,9183;9;0,75;0
ID89;5000;292337;-101280;15;2;0,5;2;7,9183;8;0,2;0
ID90;20000;0;353760;11;2;0,5;2;7,9183;10;0,666666667;0
ID91;2000;26220;8773;23;2;0,5;2;7,9183;7;1;0
ID92;20000;720302;349001;28;2;0,5;2;7,9183;10;0,428571429;0
ID93;2000;31570;723;14;2;0,5;2;7,9183;6;0;1
ID94;5000;28646;21025;27;2;0,5;2;7,9183;7;1;0
ID95;2000;30199;3545;30;2;0,5;2;7,9183;7;1;0
ID96;20000;324434;366082;22;2;0,5;2;7,9183;9;0,25;0
ID97;10000;578755;58323;24;2;0,5;2;7,9183;10;0;0
ID98;20000;361875;133096;23;2;0,5;2;7,9183;9;0,5;1
ID99;2000;28713;-2677;31;2;0,5;2;7,9183;7;0;0
ID100;5000;96585;72886;23;2;0,5;2;7,9183;10;1;1
ID101;5000;14905;17306;30;2;0,5;2;7,9183;8;0;0
ID102;2000;29162;57471;24;2;0,5;2;7,9183;7;0;1
ID103;10000;311574;69001;20;2;0,5;2;7,9183;10;0,333333333;0
ID104;5000;30249;19872;24;2;0,5;2;7,9183;9;0,5;0
ID105;10000;56300;126880;30;2;0,5;2;7,9183;9;1;0
ID106;2000;13937;4254;21;2;0,5;2;7,9183;7;0,3;1
ID107;20000;351437;-179623;27;2;0,5;2;7,9183;9;0,416666667;1
ID108;5000;160281;34000;19;2;0,5;2;7,9183;9;0,25;0
ID109;10000;108365;62833;22;2;0,5;2;7,9183;10;0,888888889;1
ID110;20000;506710;109499;19;2;0,5;2;7,9183;9;0,230769231;0
ID111;20000;3138327;405264;25;2;0,5;2;7,9183;9;0,2;0
ID112;5000;37115;33370;29;2;0,5;2;7,9183;9;0;0
ID113;20000;4261256;757481;30;2;0,5;2;7,9183;10;0,5;1
ID114;20000;307313;118635;24;2;0,5;2;7,9183;10;0,444444444;0
